,No.,Kode,Company,Sector,Currency,Listing,Share,Price,Aset,Liabilities,Equity,Revenue,Gross Profit,Net Profit,Cash of the Beginning Period,Cash From Operating,Cash From Investing,Cash From Financing,Dividen Per Share,Market Cap,NPM,EPS,DY,ROA,ROE,Book Value,PBV,PER,DER
0,1,ACES,Ace Hardware Indonesia Tbk,Consumer Cyclicals,IDR,2007,17150000000,675,7799796281793,2095094030638,5704702251155,3635052436335,1758944627545,304377192369,2133399081620.0,731462392891.0,-68319334380.0,-230286745415.0,31.06,11576250000000,0.08373392067925294,17.74794124600583,0.046014814814814814,0.039023736181354525,0.05335549148202685,332.63569977580175,2.0292470124371906,38.03258026628348,0.36725738494306476
1,2,ADRO,Adaro Energy Indonesia Tbk,Energy,IDR,2008,31985962000,2230,146286539000000,40822772000000,96464741000000,52279691000000,21730045000000,13130244000000,61116121063178.79,1076282323688.5886,-3768490732904.041,-17230299104978.234,492.06,71328695260000,0.251153818028496,410.5002063092553,0.22065470852017938,0.08975702132101164,0.13611443791675137,3015.8461702668187,0.7394276346007087,5.432396782573119,0.4231885306155541
2,3,AKRA,PT AKR Corporindo Tbk.,Energy,IDR,1994,20073474600,1420,25429779397000,12145436508000,13284342889000,19854711809000,1809697626000,1041590122000,4337980751000.0,-262248326000.0,-175553953000.0,810205062000.0,75.0,28504333932000,0.0524606013937636,51.88888036354204,0.0528169014084507,0.04095946353836158,0.07840734996854687,661.7859216560346,2.1457089876536384,27.36617151981785,0.9142670141446693
3,4,AMRT,PT Sumber Alfaria Trijaya Tbk.,Consumer Non-Cyclicals,IDR,2009,41524501700,2580,33009780000000,20803358000000,12206422000000,53833869000000,11435835000000,1618271000000,3818601000000.0,2494765000000.0,-2229857000000.0,-1119627000000.0,24.06,107133214386000,0.030060462494345335,38.97147307609955,0.009325581395348836,0.049023986224688565,0.13257537712525422,293.9570976236423,8.776790970032003,66.20227043925276,1.7042961483717343
4,5,ANTM,Aneka Tambang Tbk.,Basic Materials,IDR,1997,24030754725,1950,36368666000000,12692580000000,23676086000000,21661112000000,4240811000000,1874508000000,4476491000000.0,1691955000000.0,536331000000.0,-76771000000.0,79.5,46859971713750,0.08653793951113867,78.00454132428419,0.040769230769230766,0.05154184099026343,0.07917305250538455,985.241049269625,1.979211078796977,24.99854453208522,0.5360928322358687
5,6,ARTO,PT Bank Jago Tbk.,Financials,IDR,2016,13856250000,3180,18865190000000,10555091000000,8310099000000,984340000000,984340000000,40516000000,1460371000000.0,141441000000.0,519630000000.0,-5662000000.0,0.0,44062875000000,0.04116057459820793,2.924023455119531,0.0,0.002147659260256589,0.00487551351674631,599.7365087956698,5.30232852821609,1087.5425757725343,1.2701522569105375
6,7,ASII,Astra International Tbk,Industrials,IDR,1990,40483553140,6775,419690000000000,186380000000000,233310000000000,162393000000000,36633000000000,21713000000000,61295000000000.0,24108000000000.0,-8252000000000.0,-24442000000000.0,640.0,274276072523500,0.13370650212755475,536.3412624606399,0.09446494464944649,0.05173580499892778,0.09306502078779307,5763.0811009391555,1.1755864408876602,12.631882859277852,0.7988513137027988
7,8,BBCA,PT Bank Central Asia Tbk.,Financials,IDR,2000,123275050000,9150,1356757402000000,1132158790000000,224598612000000,42585308000000,42585308000000,24190206000000,160422371000000.0,49513360000000.0,-33061918000000.0,-20507148000000.0,205.0,1127966707500000,0.5680411187820926,196.22953712044733,0.022404371584699455,0.017829426221917896,0.10770416515307761,1821.9308124393378,5.0221446047939065,46.6290658086996,5.040809379534367
8,9,BBNI,PT Bank Negara Indonesia (Persero) Tbk,Financials,IDR,1996,18648656458,4570,1025091056000000,881617421000000,143473635000000,30294540000000,30294540000000,10301755000000,163900321000000.0,-182758000000.0,-2754355000000.0,-10334547000000.0,196.39,85224360013060,0.34005319110308324,552.4127179457316,0.04297374179431072,0.010049599925491887,0.07180242558153628,7693.510539117252,0.5940071150567837,8.272800121247302,6.144804381655208
9,10,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,Financials,IDR,2003,151559001604,5425,1805146314000000,1506654628000000,298491686000000,85590785000000,85590785000000,29421509000000,268192168000000.0,-55728351000000.0,20119881000000.0,-49165363000000.0,288.22,822207583701700,0.3437462222130572,194.12577734494323,0.05312811059907835,0.016298683808519246,0.09856726461721282,1969.4751406446458,2.7545409881255454,27.945799234896484,5.047559776924574
